id,localized_name,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
90,Keeper of the Light,int,Ranged,0,1,0,1,1,0,0,1,2
91,Io,str,Ranged,0,0,0,1,0,0,0,1,0
92,Visage,int,Ranged,0,0,1,1,1,0,1,1,2
93,Slark,agi,Melee,1,0,0,1,1,0,0,0,2
94,Medusa,agi,Ranged,1,0,0,0,1,0,1,0,0
95,Troll Warlord,agi,Ranged,1,0,1,0,1,0,1,0,2
96,Centaur Warrunner,str,Melee,0,0,0,1,1,1,1,0,4
97,Magnus,str,Melee,0,0,0,1,1,1,0,0,4
98,Timbersaw,str,Melee,0,0,0,1,0,0,1,0,2
99,Bristleback,str,Melee,1,0,0,1,0,1,1,0,2
100,Tusk,str,Melee,0,0,0,1,1,1,0,0,2
101,Skywrath Mage,int,Ranged,0,0,0,1,1,0,0,1,2
102,Abaddon,str,Melee,1,0,0,0,0,0,1,1,2
103,Elder Titan,str,Melee,0,0,0,1,1,1,1,0,2
104,Legion Commander,str,Melee,1,0,0,1,1,1,1,0,2
105,Techies,int,Ranged,0,0,0,1,1,0,0,0,6
106,Ember Spirit,agi,Melee,1,0,0,1,1,1,0,0,2
107,Earth Spirit,str,Melee,0,0,0,1,1,1,1,0,2
108,Underlord,str,Melee,0,0,0,1,1,0,1,1,2
109,Terrorblade,agi,Melee,1,0,1,1,0,0,0,0,2
110,Phoenix,str,Ranged,0,0,0,1,1,1,0,1,2
111,Oracle,int,Ranged,0,0,0,1,1,0,0,1,2
112,Winter Wyvern,int,Ranged,0,0,0,1,1,0,0,1,2
113,Arc Warden,agi,Ranged,1,0,0,1,0,0,0,0,2
114,Monkey King,agi,Melee,1,0,0,0,1,1,0,0,2
119,Dark Willow,int,Ranged,0,0,0,1,1,0,0,1,2
120,Pangolier,agi,Melee,1,0,0,1,1,1,1,0,2
